ID Proyecto,ID Coleccion,camera_trap,Lat,Lon,Inicio,Fin,No.imagen,Fotode,Fecha,photo_time,T_ambiente,Fase_lunar,Nombre_comun,Clase,Orden,Familia,Genero,Especie,Binomial,N0.Animales,Edad,Sexo,Habitat,Lugar_paso,Notas_Dudas,ID_Carpeta,ID_Foto,Distancia_m,Tecnico
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00186,Animal,2-7-2013,2:04:11 AM,70,decreciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,Transecto,,C1.1n37,PICT0186,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00187,Animal,2-7-2013,4:30:25 PM,73,decreciente,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,trillo,,C1.1n37,PICT0187,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00190,Animal,3-7-2013,1:23:30 PM,73,decreciente,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,trillo,,C1.1n37,PICT0190,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00191,Animal,3-7-2013,1:23:31 PM,73,decreciente,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,2,J,,Pantano,trillo,,C1.1n37,PICT0191,3,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00192,Animal,3-7-2013,1:23:32 PM,73,decreciente,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Transecto,,C1.1n37,PICT0192,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00193,Animal,3-7-2013,6:04:09 PM,70,decreciente,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Transecto,,C1.1n37,PICT0193,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00194,Animal,3-7-2013,6:04:10 PM,70,decreciente,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Transecto,,C1.1n37,PICT0194,3,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00195,Animal,3-7-2013,6:04:11 PM,70,decreciente,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Transecto,,C1.1n37,PICT0195,3,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00196,Animal,4-7-2013,3:47:27 AM,70,nueva,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,A,,Pantano,trillo,,C1.1n37,PICT0196,5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00197,Animal,4-7-2013,3:47:28 AM,70,nueva,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,A,,Pantano,trillo,,C1.1n37,PICT0197,5,Erick Santana
